States & Union Terrirories,No. of Airports,Domestic,International,Proposed,Private,Defence,Others
Andaman & Nicobar ,4,0,1,0,0,3,0
Andhra Pradesh,12,5,3,3,1,0,0
Arunachal Pradesh,10,3,0,1,0,6,0
Assam,12,7,1,0,0,4,0
Bihar,10,5,1,2,1,1,0
Chandigarh ,1,0,1,0,0,0,0
Chhattisgarh,8,7,0,0,1,0,0
Dadra & Nagar Haveli ,2,1,0,0,0,1,0
Daman & Diu ,2,1,0,0,0,1,0
Delhi,2,1,1,0,0,0,0
Goa,2,0,1,1,0,0,0
Gujarat,17,10,3,2,1,1,0
Haryana,8,6,0,0,0,2,0
Himachal Pradesh,4,3,0,1,0,0,0
Jammu & Kashmir ,6,3,1,0,0,2,0
Jharkhand,8,5,0,2,0,1,0
Karnataka,19,8,2,5,1,3,0
Ladakh ,2,1,0,0,0,1,0
Kerala,9,0,4,3,0,1,1
Lakshadweep ,1,1,0,0,0,0,0
Madhya Pradesh,10,9,1,0,0,0,0
Maharashtra,31,14,2,3,3,2,7
Manipur,1,0,1,0,0,0,0
Meghalaya,2,2,0,0,0,0,0
Mizoram,1,1,0,0,0,0,0
Nagaland,2,1,0,1,0,0,0
Orissa,23,14,1,1,6,1,0
Puducherry ,2,1,0,1,0,0,0
Punjab,8,4,1,0,2,1,0
Rajasthan,12,8,1,0,0,3,0
Sikkim,1,1,0,0,0,0,0
Tamil Nadu,12,4,3,0,1,4,0
Telangana,8,3,1,3,0,1,0
Tripura,4,4,0,0,0,0,0
Uttar Pradesh,32,7,3,11,10,1,0
Uttarakhand,5,3,0,1,1,0,0
West Bengal,14,5,2,0,1,6,0
